"Top-level","Aggregate","Mid-level","Low-level","Disaggregate","Attribute","Unit","Value"
"All food","Food at home","Fruits and vegetables","Processed fruits and vegetables","","Year-over-year January 2024 to January 2025","Percent change",0.2
"All food","Food at home","Fruits and vegetables","Processed fruits and vegetables","","Year-to-date avg. 2025 to avg. 2024","Percent change",-0.2
"All food","Food at home","Fruits and vegetables","Processed fruits and vegetables","","Annual 2022","Percent change",12
"All food","Food at home","Fruits and vegetables","Processed fruits and vegetables","","Annual 2023","Percent change",8
"All food","Food at home","Fruits and vegetables","Processed fruits and vegetables","","Annual 2024","Percent change",0.9
"All food","Food at home","Fruits and vegetables","Processed fruits and vegetables","","20-year historical average","Percent change",2.9
"All food","Food at home","Fruits and vegetables","Processed fruits and vegetables","","Lower bound of prediction interval 2025","Percent change",-3.3
"All food","Food at home","Fruits and vegetables","Processed fruits and vegetables","","Mid point of prediction interval 2025","Percent change",1.1
"All food","Food at home","Fruits and vegetables","Processed fruits and vegetables","","Upper bound of prediction interval 2025","Percent change",5.7
"All food","Food at home","Sugar and sweets","","","Relative importance","Percent",2.4
"All food","Food at home","Sugar and sweets","","","Month-to-month December 2024 to January 2025","Percent change",2.2
"All food","Food at home","Sugar and sweets","","","Year-over-year January 2024 to January 2025","Percent change",4.3
"All food","Food at home","Sugar and sweets","","","Year-to-date avg. 2025 to avg. 2024","Percent change",3.6
"All food","Food at home","Sugar and sweets","","","Annual 2022","Percent change",10.4
"All food","Food at home","Sugar and sweets","","","Annual 2023","Percent change",8.7
"All food","Food at home","Sugar and sweets","","","Annual 2024","Percent change",3
"All food","Food at home","Sugar and sweets","","","20-year historical average","Percent change",3
"All food","Food at home","Sugar and sweets","","","Lower bound of prediction interval 2025","Percent change",2.9
"All food","Food at home","Sugar and sweets","","","Mid point of prediction interval 2025","Percent change",6.4
"All food","Food at home","Sugar and sweets","","","Upper bound of prediction interval 2025","Percent change",10.1
"All food","Food at home","Cereals and bakery products","","","Relative importance","Percent",8.1
"All food","Food at home","Cereals and bakery products","","","Month-to-month December 2024 to January 2025","Percent change",-0.2
"All food","Food at home","Cereals and bakery products","","","Year-over-year January 2024 to January 2025","Percent change",0.4
"All food","Food at home","Cereals and bakery products","","","Year-to-date avg. 2025 to avg. 2024","Percent change",0
"All food","Food at home","Cereals and bakery products","","","Annual 2022","Percent change",13
"All food","Food at home","Cereals and bakery products","","","Annual 2023","Percent change",8.4
"All food","Food at home","Cereals and bakery products","","","Annual 2024","Percent change",0.5
"All food","Food at home","Cereals and bakery products","","","20-year historical average","Percent change",2.8
"All food","Food at home","Cereals and bakery products","","","Lower bound of prediction interval 2025","Percent change",-3.6
"All food","Food at home","Cereals and bakery products","","","Mid point of prediction interval 2025","Percent change",-0.1
"All food","Food at home","Cereals and bakery products","","","Upper bound of prediction interval 2025","Percent change",3.6
"All food","Food at home","Nonalcoholic beverages","","","Relative importance","Percent",6.6
"All food","Food at home","Nonalcoholic beverages","","","Month-to-month December 2024 to January 2025","Percent change",2.2
"All food","Food at home","Nonalcoholic beverages","","","Year-over-year January 2024 to January 2025","Percent change",2.2
"All food","Food at home","Nonalcoholic beverages","","","Year-to-date avg. 2025 to avg. 2024","Percent change",2.3
"All food","Food at home","Nonalcoholic beverages","","","Annual 2022","Percent change",11
"All food","Food at home","Nonalcoholic beverages","","","Annual 2023","Percent change",7
"All food","Food at home","Nonalcoholic beverages","","","Annual 2024","Percent change",2
"All food","Food at home","Nonalcoholic beverages","","","20-year historical average","Percent change",2.3
"All food","Food at home","Nonalcoholic beverages","","","Lower bound of prediction interval 2025","Percent change",1
"All food","Food at home","Nonalcoholic beverages","","","Mid point of prediction interval 2025","Percent change",4.4
"All food","Food at home","Nonalcoholic beverages","","","Upper bound of prediction interval 2025","Percent change",7.9
"All food","Food at home","Other foods","","","Relative importance","Percent",12.8
"All food","Food at home","Other foods","","","Month-to-month December 2024 to January 2025","Percent change",0.1
"All food","Food at home","Other foods","","","Year-over-year January 2024 to January 2025","Percent change",0.2
"All food","Food at home","Other foods","","","Year-to-date avg. 2025 to avg. 2024","Percent change",-0.2
"All food","Food at home","Other foods","","","Annual 2022","Percent change",12.7
"All food","Food at home","Other foods","","","Annual 2023","Percent change",6.6
"All food","Food at home","Other foods","","","Annual 2024","Percent change",0.6
"All food","Food at home","Other foods","","","20-year historical average","Percent change",2.4
"All food","Food at home","Other foods","","","Lower bound of prediction interval 2025","Percent change",-2.3
"All food","Food at home","Other foods","","","Mid point of prediction interval 2025","Percent change",1
"All food","Food at home","Other foods","","","Upper bound of prediction interval 2025","Percent change",4.5
